Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
AirAsia Philippines,2024-10-17,Kalibo (KLO),Davao (DVO),KLO-MNL-DVO,16:15,21:30,5h 15m,1,Layover in MNL,7500
Philippine Airlines,2024-10-18,Manila (MNL),Cebu (CEB),MNL-CEB,09:15,10:45,1h 30m,0,No info,5200
Cebu Pacific,2024-10-18,Davao (DVO),Manila (MNL),DVO-MNL,20:15,22:30,2h 15m,0,No info,6000
AirAsia Philippines,2024-10-18,Manila (MNL),Bacolod (BCD),MNL-BCD,10:00,11:15,1h 15m,0,No info,4700
Philippine Airlines,2024-10-19,Manila (MNL),Kalibo (KLO),MNL-KLO,11:30,12:45,1h 15m,0,No info,4900
Cebu Pacific,2024-10-19,Puerto Princesa (PPS),Cagayan de Oro (CGY),PPS-MNL-CGY,18:00,23:45,5h 45m,1,Layover in MNL,7800
AirAsia Philippines,2024-10-19,Cebu (CEB),Davao (DVO),CEB-DVO,12:15,13:30,1h 15m,0,No info,4300
Philippine Airlines,2024-10-20,Zamboanga (ZAM),Legazpi (LGP),ZAM-MNL-LGP,09:45,16:00,6h 15m,1,Layover in MNL,8000
Cebu Pacific,2024-10-20,Manila (MNL),Iloilo (ILO),MNL-ILO,10:30,11:45,1h 15m,0,No info,4600
AirAsia Philippines,2024-10-20,Manila (MNL),Legazpi (LGP),MNL-LGP,15:15,16:15,1h 00m,0,No info,4100
Philippine Airlines,2024-10-21,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,15:15,16:00,0h 45m,0,No info,3700
Cebu Pacific,2024-10-21,Manila (MNL),General Santos (GES),MNL-GES,13:45,15:35,1h 50m,0,No info,5400
AirAsia Philippines,2024-10-21,Manila (MNL),Cebu (CEB),MNL-CEB,18:15,19:45,1h 30m,0,In-flight meal,5400
Philippine Airlines,2024-10-22,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:15,18:00,0h 45m,0,No info,3300
Cebu Pacific,2024-10-22,Tacloban (TAC),Bacolod (BCD),TAC-CEB-BCD,19:15,22:55,3h 40m,1,Layover in CEB,5900
AirAsia Philippines,2024-10-22,Manila (MNL),Caticlan (MPH),MNL-MPH,14:00,15:10,1h 10m,0,No info,4500
Philippine Airlines,2024-10-23,General Santos (GES),Kalibo (KLO),GES-CEB-KLO,22:15,03:30,5h 15m,1,Red-eye flight,7700
Cebu Pacific,2024-10-23,Davao (DVO),Manila (MNL),DVO-MNL,23:15,01:30,2h 15m,0,No info,6100
AirAsia Philippines,2024-10-23,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,14:30,16:00,1h 30m,0,No info,5100
Philippine Airlines,2024-10-24,Manila (MNL),Cebu (CEB),MNL-CEB,13:15,14:45,1h 30m,0,No info,5200
Cebu Pacific,2024-10-24,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,21:15,02:30,5h 15m,1,Red-eye flight,7400
AirAsia Philippines,2024-10-24,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,13:00,14:30,1h 30m,0,No info,4400
Philippine Airlines,2024-10-25,Davao (DVO),Cebu (CEB),DVO-CEB,19:00,20:15,1h 15m,0,In-flight meal,4500
Cebu Pacific,2024-10-25,Cagayan de Oro (CGY),Iloilo (ILO),CGY-CEB-ILO,16:15,19:50,3h 35m,1,Layover in CEB,6100
AirAsia Philippines,2024-10-25,Manila (MNL),Davao (DVO),MNL-DVO,17:15,19:30,2h 15m,0,No info,6000
Philippine Airlines,2024-10-26,Manila (MNL),Legazpi (LGP),MNL-LGP,11:30,12:30,1h 00m,0,No info,4200
Cebu Pacific,2024-10-26,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,14:00,18:50,4h 50m,1,Layover in CEB,6700
AirAsia Philippines,2024-10-26,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,15:00,16:30,1h 30m,0,No info,5100
Philippine Airlines,2024-10-27,Manila (MNL),Cebu (CEB),MNL-CEB,22:15,23:45,1h 30m,0,In-flight meal,5500
Cebu Pacific,2024-10-27,Manila (MNL),Tacloban (TAC),MNL-TAC,12:30,13:50,1h 20m,0,No info,4700
AirAsia Philippines,2024-10-27,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,16:15,22:30,6h 15m,1,Layover in MNL,7700
Philippine Airlines,2024-10-28,Davao (DVO),Manila (MNL),DVO-MNL,22:00,00:15,2h 15m,0,No info,6100
Cebu Pacific,2024-10-28,Manila (MNL),Bacolod (BCD),MNL-BCD,19:00,20:15,1h 15m,0,No info,4700
AirAsia Philippines,2024-10-28,Cebu (CEB),Iloilo (ILO),CEB-ILO,20:45,21:30,0h 45m,0,No info,3300
Philippine Airlines,2024-10-29,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,11:45,16:00,4h 15m,1,Layover in CEB,6500
Cebu Pacific,2024-10-29,Manila (MNL),Kalibo (KLO),MNL-KLO,10:15,11:30,1h 15m,0,No info,4900
AirAsia Philippines,2024-10-29,Manila (MNL),Davao (DVO),MNL-DVO,07:45,10:00,2h 15m,0,No info,5900
Philippine Airlines,2024-10-30,Manila (MNL),Cebu (CEB),MNL-CEB,15:30,17:00,1h 30m,0,No info,5200
Cebu Pacific,2024-10-30,Manila (MNL),General Santos (GES),MNL-GES,13:45,15:35,1h 50m,0,No info,5400
AirAsia Philippines,2024-10-30,Manila (MNL),Tacloban (TAC),MNL-TAC,18:00,19:20,1h 20m,0,No info,4500
Philippine Airlines,2024-10-31,Manila (MNL),Cebu (CEB),MNL-CEB,20:45,22:15,1h 30m,0,Halloween,5400
Cebu Pacific,2024-10-31,Davao (DVO),Cebu (CEB),DVO-CEB,11:45,13:00,1h 15m,0,Halloween,4400
AirAsia Philippines,2024-10-31,Manila (MNL),Clark (CRK),MNL-CRK,17:00,17:45,0h 45m,0,Halloween,4200
Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Philippine Airlines,2024-12-01,Manila (MNL),Cebu (CEB),MNL-CEB,08:00,09:30,1h 30m,0,Christmas season,6200
Cebu Pacific,2024-12-01,Manila (MNL),Davao (DVO),MNL-DVO,06:30,08:45,2h 15m,0,Christmas season,6900
AirAsia Philippines,2024-12-01,Manila (MNL),Iloilo (ILO),MNL-ILO,17:45,19:00,1h 15m,0,Christmas season,5700
Philippine Airlines,2024-12-02,Bacolod (BCD),Zamboanga (ZAM),BCD-CEB-ZAM,09:45,13:40,3h 55m,1,Layover in CEB,7400
Cebu Pacific,2024-12-02,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,14:00,15:30,1h 30m,0,No info,6000
AirAsia Philippines,2024-12-02,Manila (MNL),Kalibo (KLO),MNL-KLO,09:30,10:45,1h 15m,0,No info,5900
Philippine Airlines,2024-12-03,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,10:30,14:45,4h 15m,1,Layover in MNL,8100
Cebu Pacific,2024-12-03,Zamboanga (ZAM),Iloilo (ILO),ZAM-CEB-ILO,13:00,16:15,3h 15m,1,Layover in CEB,6800
AirAsia Philippines,2024-12-03,Cagayan de Oro (CGY),Puerto Princesa (PPS),CGY-MNL-PPS,17:45,23:00,5h 15m,1,Layover in MNL,7700
Philippine Airlines,2024-12-04,Manila (MNL),Legazpi (LGP),MNL-LGP,16:30,17:30,1h 00m,0,No info,5100
Cebu Pacific,2024-12-04,Manila (MNL),Tacloban (TAC),MNL-TAC,20:00,21:20,1h 20m,0,No info,5400
AirAsia Philippines,2024-12-04,Manila (MNL),Caticlan (MPH),MNL-MPH,10:45,11:55,1h 10m,0,No info,5300
Philippine Airlines,2024-12-05,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,12:00,15:50,3h 50m,1,Layover in CEB,7300
Cebu Pacific,2024-12-05,Tacloban (TAC),Davao (DVO),TAC-CEB-DVO,10:45,14:30,3h 45m,1,Layover in CEB,6600
AirAsia Philippines,2024-12-05,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,15:00,16:30,1h 30m,0,No info,6000
Philippine Airlines,2024-12-06,Manila (MNL),Cebu (CEB),MNL-CEB,22:45,00:15,1h 30m,0,In-flight meal,6400
Cebu Pacific,2024-12-06,Davao (DVO),Cebu (CEB),DVO-CEB,11:00,12:15,1h 15m,0,No info,5100
AirAsia Philippines,2024-12-06,Kalibo (KLO),Zamboanga (ZAM),KLO-MNL-ZAM,19:15,01:30,6h 15m,1,Layover in MNL,8700
Philippine Airlines,2024-12-07,Manila (MNL),Davao (DVO),MNL-DVO,09:00,11:15,2h 15m,0,No info,7000
Cebu Pacific,2024-12-07,Manila (MNL),Iloilo (ILO),MNL-ILO,17:15,18:30,1h 15m,0,No info,5700
AirAsia Philippines,2024-12-07,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,15:15,16:45,1h 30m,0,No info,5300
Philippine Airlines,2024-12-08,Iloilo (ILO),Legazpi (LGP),ILO-MNL-LGP,12:45,16:40,3h 55m,1,Layover in MNL,7200
Cebu Pacific,2024-12-08,General Santos (GES),Bacolod (BCD),GES-CEB-BCD,18:30,23:05,4h 35m,1,Layover in CEB,7500
AirAsia Philippines,2024-12-08,Manila (MNL),Kalibo (KLO),MNL-KLO,22:00,23:15,1h 15m,0,No info,5900
Philippine Airlines,2024-12-09,Manila (MNL),Cebu (CEB),MNL-CEB,15:15,16:45,1h 30m,0,No info,6200
Cebu Pacific,2024-12-09,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,13:45,18:00,4h 15m,1,Layover in CEB,7400
AirAsia Philippines,2024-12-09,Manila (MNL),Legazpi (LGP),MNL-LGP,12:15,13:15,1h 00m,0,No info,5100
Philippine Airlines,2024-12-10,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,11:15,17:30,6h 15m,1,Layover in MNL,8200
Cebu Pacific,2024-12-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,18:30,19:15,0h 45m,0,No info,3900
AirAsia Philippines,2024-12-10,Manila (MNL),Tacloban (TAC),MNL-TAC,15:30,16:50,1h 20m,0,No info,5400
Philippine Airlines,2024-12-11,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,17:15,18:00,0h 45m,0,No info,4300
Cebu Pacific,2024-12-11,Manila (MNL),General Santos (GES),MNL-GES,13:45,15:35,1h 50m,0,No info,6300
AirAsia Philippines,2024-12-11,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,23:45,04:00,4h 15m,1,Red-eye flight,8000
Philippine Airlines,2024-12-12,Cebu (CEB),Davao (DVO),CEB-DVO,09:45,11:00,1h 15m,0,In-flight meal,5300
Cebu Pacific,2024-12-12,Manila (MNL),Iloilo (ILO),MNL-ILO,11:45,13:00,1h 15m,0,No info,5700
AirAsia Philippines,2024-12-12,Manila (MNL),Caticlan (MPH),MNL-MPH,10:45,11:55,1h 10m,0,No info,5600
Philippine Airlines,2024-12-13,Davao (DVO),Manila (MNL),DVO-MNL,22:45,01:00,2h 15m,0,No info,7000
Cebu Pacific,2024-12-13,Manila (MNL),Bacolod (BCD),MNL-BCD,20:15,21:30,1h 15m,0,No info,5600
AirAsia Philippines,2024-12-13,Bacolod (BCD),Puerto Princesa (PPS),BCD-MNL-PPS,21:45,02:00,4h 15m,1,Layover in MNL,7600
Philippine Airlines,2024-12-14,Manila (MNL),Cebu (CEB),MNL-CEB,17:00,18:30,1h 30m,0,In-flight meal,6400
Cebu Pacific,2024-12-14,Tacloban (TAC),Kalibo (KLO),TAC-MNL-KLO,14:45,19:30,4h 45m,1,Layover in MNL,7800
AirAsia Philippines,2024-12-14,Cebu (CEB),Iloilo (ILO),CEB-ILO,20:45,21:30,0h 45m,0,No info,3900
Philippine Airlines,2024-12-15,Caticlan (MPH),General Santos (GES),MPH-CEB-GES,08:45,13:35,4h 50m,1,Layover in CEB,7900
Cebu Pacific,2024-12-15,Manila (MNL),Legazpi (LGP),MNL-LGP,13:45,14:45,1h 00m,0,No info,5200
AirAsia Philippines,2024-12-15,Manila (MNL),General Santos (GES),MNL-GES,17:45,19:35,1h 50m,0,No info,6300
Philippine Airlines,2024-12-16,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,15:45,17:15,1h 30m,0,No info,5400
Cebu Pacific,2024-12-16,Iloilo (ILO),Zamboanga (ZAM),ILO-CEB-ZAM,12:45,16:50,4h 05m,1,Layover in CEB,7100
AirAsia Philippines,2024-12-16,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,15:30,17:00,1h 30m,0,No info,6100
Philippine Airlines,2024-12-17,Davao (DVO),Cebu (CEB),DVO-CEB,18:45,20:00,1h 15m,0,No info,5200
Cebu Pacific,2024-12-17,Manila (MNL),Iloilo (ILO),MNL-ILO,23:45,01:00,1h 15m,0,No info,5800
AirAsia Philippines,2024-12-17,Kalibo (KLO),Davao (DVO),KLO-MNL-DVO,16:45,22:00,5h 15m,1,Layover in MNL,8500
Philippine Airlines,2024-12-18,Manila (MNL),Cebu (CEB),MNL-CEB,09:45,11:15,1h 30m,0,No info,6300
Cebu Pacific,2024-12-18,Davao (DVO),Manila (MNL),DVO-MNL,20:45,23:00,2h 15m,0,No info,7100
AirAsia Philippines,2024-12-18,Manila (MNL),Bacolod (BCD),MNL-BCD,10:30,11:45,1h 15m,0,No info,5700
Philippine Airlines,2024-12-19,Manila (MNL),Kalibo (KLO),MNL-KLO,12:00,13:15,1h 15m,0,No info,5900
Cebu Pacific,2024-12-19,Puerto Princesa (PPS),Cagayan de Oro (CGY),PPS-MNL-CGY,18:30,00:15,5h 45m,1,Layover in MNL,8800
AirAsia Philippines,2024-12-19,Cebu (CEB),Davao (DVO),CEB-DVO,12:45,14:00,1h 15m,0,No info,5300
Philippine Airlines,2024-12-20,Zamboanga (ZAM),Legazpi (LGP),ZAM-MNL-LGP,10:15,16:30,6h 15m,1,Layover in MNL,9000
Cebu Pacific,2024-12-20,Manila (MNL),Iloilo (ILO),MNL-ILO,11:00,12:15,1h 15m,0,No info,5900
AirAsia Philippines,2024-12-20,Manila (MNL),Legazpi (LGP),MNL-LGP,15:45,16:45,1h 00m,0,No info,5300
Philippine Airlines,2024-12-21,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,15:45,16:30,0h 45m,0,No info,4500
Cebu Pacific,2024-12-21,Manila (MNL),General Santos (GES),MNL-GES,14:15,16:05,1h 50m,0,No info,6500
AirAsia Philippines,2024-12-21,Manila (MNL),Cebu (CEB),MNL-CEB,18:45,20:15,1h 30m,0,In-flight meal,6500
Philippine Airlines,2024-12-22,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:45,18:30,0h 45m,0,No info,4100
Cebu Pacific,2024-12-22,Tacloban (TAC),Bacolod (BCD),TAC-CEB-BCD,19:45,23:25,3h 40m,1,Layover in CEB,6900
AirAsia Philippines,2024-12-22,Manila (MNL),Caticlan (MPH),MNL-MPH,14:30,15:40,1h 10m,0,No info,5800
Philippine Airlines,2024-12-23,General Santos (GES),Kalibo (KLO),GES-CEB-KLO,22:45,04:00,5h 15m,1,Red-eye flight,8600
Cebu Pacific,2024-12-23,Davao (DVO),Manila (MNL),DVO-MNL,23:45,02:00,2h 15m,0,No info,7200
AirAsia Philippines,2024-12-23,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,15:00,16:30,1h 30m,0,No info,6100
Philippine Airlines,2024-12-24,Manila (MNL),Cebu (CEB),MNL-CEB,13:45,15:15,1h 30m,0,Christmas Eve,6700
Cebu Pacific,2024-12-24,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,21:45,03:00,5h 15m,1,Red-eye flight,8400
AirAsia Philippines,2024-12-24,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,13:30,15:00,1h 30m,0,Christmas Eve,5700
Philippine Airlines,2024-12-25,Davao (DVO),Cebu (CEB),DVO-CEB,19:30,20:45,1h 15m,0,Christmas Day,5700
Cebu Pacific,2024-12-25,Cagayan de Oro (CGY),Iloilo (ILO),CGY-CEB-ILO,16:45,20:20,3h 35m,1,Christmas Day,7100
AirAsia Philippines,2024-12-25,Manila (MNL),Davao (DVO),MNL-DVO,17:45,20:00,2h 15m,0,Christmas Day,7100
Philippine Airlines,2024-12-26,Manila (MNL),Legazpi (LGP),MNL-LGP,12:00,13:00,1h 00m,0,No info,5500
Cebu Pacific,2024-12-26,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,14:30,19:20,4h 50m,1,Layover in CEB,7800
AirAsia Philippines,2024-12-26,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,15:30,17:00,1h 30m,0,No info,6300
Philippine Airlines,2024-12-27,Manila (MNL),Cebu (CEB),MNL-CEB,22:45,00:15,1h 30m,0,In-flight meal,6800
Cebu Pacific,2024-12-27,Manila (MNL),Tacloban (TAC),MNL-TAC,13:00,14:20,1h 20m,0,No info,5900
AirAsia Philippines,2024-12-27,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,16:45,23:00,6h 15m,1,Layover in MNL,8900
Philippine Airlines,2024-12-28,Davao (DVO),Manila (MNL),DVO-MNL,22:30,00:45,2h 15m,0,No info,7300
Cebu Pacific,2024-12-28,Manila (MNL),Bacolod (BCD),MNL-BCD,19:30,20:45,1h 15m,0,No info,6000
AirAsia Philippines,2024-12-28,Cebu (CEB),Iloilo (ILO),CEB-ILO,21:15,22:00,0h 45m,0,No info,4200
Philippine Airlines,2024-12-29,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,12:15,16:30,4h 15m,1,Layover in CEB,7600
Cebu Pacific,2024-12-29,Manila (MNL),Kalibo (KLO),MNL-KLO,10:45,12:00,1h 15m,0,No info,6100
AirAsia Philippines,2024-12-29,Manila (MNL),Davao (DVO),MNL-DVO,08:15,10:30,2h 15m,0,No info,7000
Philippine Airlines,2024-12-30,Manila (MNL),Cebu (CEB),MNL-CEB,16:00,17:30,1h 30m,0,Rizal Day,6800
Cebu Pacific,2024-12-30,Manila (MNL),General Santos (GES),MNL-GES,14:15,16:05,1h 50m,0,Rizal Day,6900
AirAsia Philippines,2024-12-30,Manila (MNL),Tacloban (TAC),MNL-TAC,18:30,19:50,1h 20m,0,Rizal Day,5800
Philippine Airlines,2024-12-31,Manila (MNL),Cebu (CEB),MNL-CEB,21:00,22:30,1h 30m,0,New Year's Eve,7000
Cebu Pacific,2024-12-31,Davao (DVO),Cebu (CEB),DVO-CEB,12:30,13:45,1h 15m,0,New Year's Eve,5700
AirAsia Philippines,2024-12-31,Manila (MNL),Clark (CRK),MNL-CRK,18:00,18:45,0h 45m,0,New Year's Eve,5200
Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Philippine Airlines,2024-11-01,Manila (MNL),Cebu (CEB),MNL-CEB,07:45,09:15,1h 30m,0,All Saints Day,5600
Cebu Pacific,2024-11-01,Manila (MNL),Davao (DVO),MNL-DVO,06:15,08:30,2h 15m,0,All Saints Day,6300
AirAsia Philippines,2024-11-01,Manila (MNL),Iloilo (ILO),MNL-ILO,17:15,18:30,1h 15m,0,All Saints Day,5300
Philippine Airlines,2024-11-02,Bacolod (BCD),Zamboanga (ZAM),BCD-CEB-ZAM,09:30,13:25,3h 55m,1,Layover in CEB,6800
Cebu Pacific,2024-11-02,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,13:45,15:15,1h 30m,0,No info,5700
AirAsia Philippines,2024-11-02,Manila (MNL),Kalibo (KLO),MNL-KLO,09:15,10:30,1h 15m,0,No info,5500
Philippine Airlines,2024-11-03,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,10:15,14:30,4h 15m,1,Layover in MNL,7600
Cebu Pacific,2024-11-03,Zamboanga (ZAM),Iloilo (ILO),ZAM-CEB-ILO,12:45,16:00,3h 15m,1,Layover in CEB,6400
AirAsia Philippines,2024-11-03,Cagayan de Oro (CGY),Puerto Princesa (PPS),CGY-MNL-PPS,17:30,22:45,5h 15m,1,Layover in MNL,7200
Philippine Airlines,2024-11-04,Manila (MNL),Legazpi (LGP),MNL-LGP,16:00,17:00,1h 00m,0,No info,4700
Cebu Pacific,2024-11-04,Manila (MNL),Tacloban (TAC),MNL-TAC,19:30,20:50,1h 20m,0,No info,5000
AirAsia Philippines,2024-11-04,Manila (MNL),Caticlan (MPH),MNL-MPH,10:15,11:25,1h 10m,0,No info,4900
Philippine Airlines,2024-11-05,Bacolod (BCD),General Santos (GES),BCD-CEB-GES,11:45,15:35,3h 50m,1,Layover in CEB,6900
Cebu Pacific,2024-11-05,Tacloban (TAC),Davao (DVO),TAC-CEB-DVO,10:30,14:15,3h 45m,1,Layover in CEB,6200
AirAsia Philippines,2024-11-05,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,14:45,16:15,1h 30m,0,No info,5600
Philippine Airlines,2024-11-06,Manila (MNL),Cebu (CEB),MNL-CEB,22:15,23:45,1h 30m,0,In-flight meal,5800
Cebu Pacific,2024-11-06,Davao (DVO),Cebu (CEB),DVO-CEB,10:30,11:45,1h 15m,0,No info,4700
AirAsia Philippines,2024-11-06,Kalibo (KLO),Zamboanga (ZAM),KLO-MNL-ZAM,19:00,01:15,6h 15m,1,Layover in MNL,8100
Philippine Airlines,2024-11-07,Manila (MNL),Davao (DVO),MNL-DVO,08:45,11:00,2h 15m,0,No info,6500
Cebu Pacific,2024-11-07,Manila (MNL),Iloilo (ILO),MNL-ILO,16:45,18:00,1h 15m,0,No info,5300
AirAsia Philippines,2024-11-07,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,15:00,16:30,1h 30m,0,No info,4900
Philippine Airlines,2024-11-08,Iloilo (ILO),Legazpi (LGP),ILO-MNL-LGP,12:30,16:25,3h 55m,1,Layover in MNL,6800
Cebu Pacific,2024-11-08,General Santos (GES),Bacolod (BCD),GES-CEB-BCD,18:00,22:35,4h 35m,1,Layover in CEB,7100
AirAsia Philippines,2024-11-08,Manila (MNL),Kalibo (KLO),MNL-KLO,21:30,22:45,1h 15m,0,No info,5500
Philippine Airlines,2024-11-09,Manila (MNL),Cebu (CEB),MNL-CEB,14:45,16:15,1h 30m,0,No info,5700
Cebu Pacific,2024-11-09,Puerto Princesa (PPS),Tacloban (TAC),PPS-CEB-TAC,13:30,17:45,4h 15m,1,Layover in CEB,7000
AirAsia Philippines,2024-11-09,Manila (MNL),Legazpi (LGP),MNL-LGP,11:45,12:45,1h 00m,0,No info,4700
Philippine Airlines,2024-11-10,Zamboanga (ZAM),Caticlan (MPH),ZAM-MNL-MPH,10:45,17:00,6h 15m,1,Layover in MNL,7800
Cebu Pacific,2024-11-10,Cebu (CEB),Iloilo (ILO),CEB-ILO,18:00,18:45,0h 45m,0,No info,3600
AirAsia Philippines,2024-11-10,Manila (MNL),Tacloban (TAC),MNL-TAC,15:00,16:20,1h 20m,0,No info,5000
Philippine Airlines,2024-11-11,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,17:00,17:45,0h 45m,0,No info,4000
Cebu Pacific,2024-11-11,Manila (MNL),General Santos (GES),MNL-GES,13:30,15:20,1h 50m,0,No info,5900
AirAsia Philippines,2024-11-11,Legazpi (LGP),Davao (DVO),LGP-MNL-DVO,23:30,03:45,4h 15m,1,Red-eye flight,7600
Philippine Airlines,2024-11-12,Cebu (CEB),Davao (DVO),CEB-DVO,09:30,10:45,1h 15m,0,In-flight meal,4900
Cebu Pacific,2024-11-12,Manila (MNL),Iloilo (ILO),MNL-ILO,11:30,12:45,1h 15m,0,No info,5300
AirAsia Philippines,2024-11-12,Manila (MNL),Caticlan (MPH),MNL-MPH,10:30,11:40,1h 10m,0,No info,5200
Philippine Airlines,2024-11-13,Davao (DVO),Manila (MNL),DVO-MNL,22:30,00:45,2h 15m,0,No info,6600
Cebu Pacific,2024-11-13,Manila (MNL),Bacolod (BCD),MNL-BCD,20:00,21:15,1h 15m,0,No info,5200
AirAsia Philippines,2024-11-13,Bacolod (BCD),Puerto Princesa (PPS),BCD-MNL-PPS,21:30,01:45,4h 15m,1,Layover in MNL,7200
Philippine Airlines,2024-11-14,Manila (MNL),Cebu (CEB),MNL-CEB,16:45,18:15,1h 30m,0,In-flight meal,5800
Cebu Pacific,2024-11-14,Tacloban (TAC),Kalibo (KLO),TAC-MNL-KLO,14:30,19:15,4h 45m,1,Layover in MNL,7400
AirAsia Philippines,2024-11-14,Cebu (CEB),Iloilo (ILO),CEB-ILO,20:30,21:15,0h 45m,0,No info,3600
Philippine Airlines,2024-11-15,Caticlan (MPH),General Santos (GES),MPH-CEB-GES,08:30,13:20,4h 50m,1,Layover in CEB,7500
Cebu Pacific,2024-11-15,Manila (MNL),Legazpi (LGP),MNL-LGP,13:30,14:30,1h 00m,0,No info,4800
AirAsia Philippines,2024-11-15,Manila (MNL),General Santos (GES),MNL-GES,17:30,19:20,1h 50m,0,No info,5900
Philippine Airlines,2024-11-16,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,15:45,17:15,1h 30m,0,No info,5000
Cebu Pacific,2024-11-16,Iloilo (ILO),Zamboanga (ZAM),ILO-CEB-ZAM,12:30,16:35,4h 05m,1,Layover in CEB,6700
AirAsia Philippines,2024-11-16,Manila (MNL),Cagayan de Oro (CGY),MNL-CGY,15:00,16:30,1h 30m,0,No info,5600
Philippine Airlines,2024-11-17,Davao (DVO),Cebu (CEB),DVO-CEB,18:30,19:45,1h 15m,0,No info,4800
Cebu Pacific,2024-11-17,Manila (MNL),Iloilo (ILO),MNL-ILO,23:30,00:45,1h 15m,0,No info,5300
AirAsia Philippines,2024-11-17,Kalibo (KLO),Davao (DVO),KLO-MNL-DVO,16:30,21:45,5h 15m,1,Layover in MNL,8000
Philippine Airlines,2024-11-18,Manila (MNL),Cebu (CEB),MNL-CEB,09:30,11:00,1h 30m,0,No info,5700
Cebu Pacific,2024-11-18,Davao (DVO),Manila (MNL),DVO-MNL,20:30,22:45,2h 15m,0,No info,6600
AirAsia Philippines,2024-11-18,Manila (MNL),Bacolod (BCD),MNL-BCD,10:15,11:30,1h 15m,0,No info,5200
Philippine Airlines,2024-11-19,Manila (MNL),Kalibo (KLO),MNL-KLO,11:45,13:00,1h 15m,0,No info,5500
Cebu Pacific,2024-11-19,Puerto Princesa (PPS),Cagayan de Oro (CGY),PPS-MNL-CGY,18:15,00:00,5h 45m,1,Layover in MNL,8300
AirAsia Philippines,2024-11-19,Cebu (CEB),Davao (DVO),CEB-DVO,12:30,13:45,1h 15m,0,No info,4800
Philippine Airlines,2024-11-20,Zamboanga (ZAM),Legazpi (LGP),ZAM-MNL-LGP,09:45,16:00,6h 15m,1,Layover in MNL,8500
Cebu Pacific,2024-11-20,Manila (MNL),Iloilo (ILO),MNL-ILO,10:45,12:00,1h 15m,0,No info,5300
AirAsia Philippines,2024-11-20,Manila (MNL),Legazpi (LGP),MNL-LGP,15:15,16:15,1h 00m,0,No info,4800
Philippine Airlines,2024-11-21,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,15:30,16:15,0h 45m,0,No info,4000
Cebu Pacific,2024-11-21,Manila (MNL),General Santos (GES),MNL-GES,14:00,15:50,1h 50m,0,No info,5900
AirAsia Philippines,2024-11-21,Manila (MNL),Cebu (CEB),MNL-CEB,18:30,20:00,1h 30m,0,In-flight meal,5800
Philippine Airlines,2024-11-22,Cebu (CEB),Iloilo (ILO),CEB-ILO,17:30,18:15,0h 45m,0,No info,3600
Cebu Pacific,2024-11-22,Tacloban (TAC),Bacolod (BCD),TAC-CEB-BCD,19:30,23:10,3h 40m,1,Layover in CEB,6400
AirAsia Philippines,2024-11-22,Manila (MNL),Caticlan (MPH),MNL-MPH,14:15,15:25,1h 10m,0,No info,5200
